"nome_plot";"bloco";"nota";"quartil_bloco";"classificacao_bloco"
"AF Invest Geraes 30";"score_custo";"0,40444444444444444";"3";"Q3 - Observação"
"Occam Crédito Corporativo 30";"score_custo";"0,40000000000000002";"3";"Q3 - Observação"
"ARX Everest Advisory";"score_custo";"0,39555555555555555";"3";"Q3 - Observação"
"Integral";"score_custo";"0,39111111111111113";"3";"Q3 - Observação"
"SPX Seahawk Advisory";"score_custo";"0,39111111111111108";"3";"Q3 - Observação"
"BOCOM BBM Corporate Credit Plus MULT";"score_custo";"0,38222222222222224";"3";"Q3 - Observação"
"Safra Polaris";"score_custo";"0,36444444444444446";"3";"Q3 - Observação"
"Capitânia Premium 45";"score_custo";"0,36444444444444440";"3";"Q3 - Observação"
"Novus Crédito";"score_custo";"0,35999999999999999";"3";"Q3 - Observação"
"BB Asset";"score_custo";"0,35999999999999999";"3";"Q3 - Observação"
"Ibiuna Credit";"score_custo";"0,33333333333333331";"3";"Q3 - Observação"
"Augme 30 Advisory";"score_custo";"0,32000000000000001";"4";"Q4 - Descartado"
"BNP Paribas Match Plus 30 Advisory";"score_custo";"0,31111111111111112";"4";"Q4 - Descartado"
"XP Corporate Plus";"score_custo";"0,31111111111111112";"4";"Q4 - Descartado"
"SulAmérica Crédito Ativo";"score_custo";"0,30222222222222223";"4";"Q4 - Descartado"
"Mag High Grade Plus 30";"score_custo";"0,19999999999999998";"4";"Q4 - Descartado"
"Inter Premium";"score_custo";"0,19555555555555557";"4";"Q4 - Descartado"
"XP Corporate Top";"score_custo";"0,17777777777777778";"4";"Q4 - Descartado"
"Root Capital Crédito HG Plus";"score_custo";"0,17333333333333337";"4";"Q4 - Descartado"
"Atena Yield D30";"score_custo";"0,14666666666666667";"4";"Q4 - Descartado"
"AZ Quest Altro Advisory";"score_custo";"0,12444444444444444";"4";"Q4 - Descartado"
"JGP Crédito Advisory";"score_custo";"0,03555555555555556";"4";"Q4 - Descartado"
"Mag High Grade Plus 30";"score_diferenciacao";"0,97777777777777786";"1";"Q1 - Destaque"
"Ibiuna Credit";"score_diferenciacao";"0,97333333333333338";"1";"Q1 - Destaque"
"Tivio Institucional 15";"score_diferenciacao";"0,95555555555555549";"1";"Q1 - Destaque"
"Capitânia Premium 45";"score_diferenciacao";"0,92888888888888888";"1";"Q1 - Destaque"
"Riza Lotus Plus Advisory";"score_diferenciacao";"0,90666666666666662";"1";"Q1 - Destaque"
"Compass Yield 30";"score_diferenciacao";"0,89777777777777779";"1";"Q1 - Destaque"
"Atena Yield D30";"score_diferenciacao";"0,89333333333333331";"1";"Q1 - Destaque"
"Vinland Crédito";"score_diferenciacao";"0,79999999999999993";"1";"Q1 - Destaque"
"ARX Everest Advisory";"score_diferenciacao";"0,79111111111111110";"1";"Q1 - Destaque"
"Root Capital Crédito HG Plus";"score_diferenciacao";"0,78666666666666674";"1";"Q1 - Destaque"
"Polo Crédito Corporativo Advisory";"score_diferenciacao";"0,72444444444444445";"1";"Q1 - Destaque"
"Absolute Creta Advisory";"score_diferenciacao";"0,71999999999999997";"1";"Q1 - Destaque"
"SulAmérica Crédito ESG";"score_diferenciacao";"0,71555555555555550";"2";"Q2 - Aprovado"
"BOCOM BBM Corporate Credit Plus MULT";"score_diferenciacao";"0,71555555555555550";"2";"Q2 - Aprovado"
"Iridium Titan Advisory";"score_diferenciacao";"0,68444444444444441";"2";"Q2 - Aprovado"
"BB Asset";"score_diferenciacao";"0,67555555555555546";"2";"Q2 - Aprovado"
"Occam Crédito Corporativo 30";"score_diferenciacao";"0,62666666666666671";"2";"Q2 - Aprovado"
"Bocom BBM Corporate Credit II";"score_diferenciacao";"0,59555555555555562";"2";"Q2 - Aprovado"
"Augme 30 Advisory";"score_diferenciacao";"0,59111111111111114";"2";"Q2 - Aprovado"
"Novus Crédito";"score_diferenciacao";"0,58222222222222220";"2";"Q2 - Aprovado"
"Arx Vinson Advisory";"score_diferenciacao";"0,57777777777777783";"2";"Q2 - Aprovado"
"XP Corporate Plus";"score_diferenciacao";"0,54666666666666663";"2";"Q2 - Aprovado"
"BNP Paribas Match Plus 30 Advisory";"score_diferenciacao";"0,49777777777777776";"2";"Q2 - Aprovado"
"Inter Premium";"score_diferenciacao";"0,47111111111111115";"2";"Q2 - Aprovado"
"Integral";"score_diferenciacao";"0,46222222222222220";"3";"Q3 - Observação"
"AF Invest Geraes 30";"score_diferenciacao";"0,41333333333333333";"3";"Q3 - Observação"
"BTG Pactual Crédito Corporativo I";"score_diferenciacao";"0,38666666666666666";"3";"Q3 - Observação"
"Safra Polaris";"score_diferenciacao";"0,32888888888888890";"3";"Q3 - Observação"
"Safra Grand Vitesse";"score_diferenciacao";"0,31555555555555553";"3";"Q3 - Observação"
"XP Corporate Light";"score_diferenciacao";"0,31111111111111112";"3";"Q3 - Observação"
"Valora Absolute";"score_diferenciacao";"0,30666666666666670";"3";"Q3 - Observação"
"XP Corporate Top";"score_diferenciacao";"0,30666666666666664";"3";"Q3 - Observação"
"Safra Vitesse";"score_diferenciacao";"0,27555555555555555";"3";"Q3 - Observação"
"JGP Crédito Advisory";"score_diferenciacao";"0,26666666666666666";"3";"Q3 - Observação"
"BNP Paribas Rubi";"score_diferenciacao";"0,24444444444444444";"3";"Q3 - Observação"
"AZ Quest Altro Advisory";"score_diferenciacao";"0,23111111111111110";"4";"Q4 - Descartado"
"SPX Seahawk Advisory";"score_diferenciacao";"0,21333333333333335";"4";"Q4 - Descartado"
"SulAmérica Crédito Ativo";"score_diferenciacao";"0,20888888888888890";"4";"Q4 - Descartado"
"JGP Corporate FEEDER II";"score_diferenciacao";"0,17333333333333334";"4";"Q4 - Descartado"
"Sparta Max Advisory";"score_diferenciacao";"0,14666666666666667";"4";"Q4 - Descartado"
"Daycoval Classic 30";"score_diferenciacao";"0,14222222222222222";"4";"Q4 - Descartado"
"Principal Claritas";"score_diferenciacao";"0,14222222222222222";"4";"Q4 - Descartado"
"Sparta Top";"score_diferenciacao";"0,13333333333333333";"4";"Q4 - Descartado"
"Selection Light";"score_diferenciacao";"0,11111111111111112";"4";"Q4 - Descartado"
"Plural Crédito Corporativo II";"score_diferenciacao";"0,11111111111111110";"4";"Q4 - Descartado"
"Porto Seguro Ipê";"score_diferenciacao";"0,07111111111111111";"4";"Q4 - Descartado"
"BOCOM BBM Corporate Credit Plus MULT";"score_retorno";"1,00000000000000000";"1";"Q1 - Destaque"
"Compass Yield 30";"score_retorno";"0,97777777777777775";"1";"Q1 - Destaque"
"SulAmérica Crédito ESG";"score_retorno";"0,95555555555555560";"1";"Q1 - Destaque"
"Integral";"score_retorno";"0,93333333333333335";"1";"Q1 - Destaque"
"Vinland Crédito";"score_retorno";"0,91111111111111109";"1";"Q1 - Destaque"
"Ibiuna Credit";"score_retorno";"0,88888888888888884";"1";"Q1 - Destaque"
"Root Capital Crédito HG Plus";"score_retorno";"0,86666666666666670";"1";"Q1 - Destaque"
"ARX Everest Advisory";"score_retorno";"0,84444444444444444";"1";"Q1 - Destaque"
"Polo Crédito Corporativo Advisory";"score_retorno";"0,82222222222222219";"1";"Q1 - Destaque"
"Novus Crédito";"score_retorno";"0,80000000000000004";"1";"Q1 - Destaque"
"XP Corporate Plus";"score_retorno";"0,77777777777777779";"1";"Q1 - Destaque"
"Sparta Max Advisory";"score_retorno";"0,75555555555555554";"1";"Q1 - Destaque"
"Bocom BBM Corporate Credit II";"score_retorno";"0,73333333333333328";"2";"Q2 - Aprovado"
"Porto Seguro Ipê";"score_retorno";"0,71111111111111114";"2";"Q2 - Aprovado"
"Iridium Titan Advisory";"score_retorno";"0,68888888888888888";"2";"Q2 - Aprovado"
"Absolute Creta Advisory";"score_retorno";"0,66666666666666663";"2";"Q2 - Aprovado"
"Principal Claritas";"score_retorno";"0,64444444444444449";"2";"Q2 - Aprovado"
"JGP Corporate FEEDER II";"score_retorno";"0,62222222222222223";"2";"Q2 - Aprovado"
"Occam Crédito Corporativo 30";"score_retorno";"0,59999999999999998";"2";"Q2 - Aprovado"
"SPX Seahawk Advisory";"score_retorno";"0,57777777777777772";"2";"Q2 - Aprovado"
"Atena Yield D30";"score_retorno";"0,55555555555555558";"2";"Q2 - Aprovado"
"BTG Pactual Crédito Corporativo I";"score_retorno";"0,53333333333333333";"2";"Q2 - Aprovado"
"Safra Polaris";"score_retorno";"0,51111111111111107";"2";"Q2 - Aprovado"
"Daycoval Classic 30";"score_retorno";"0,48888888888888887";"2";"Q2 - Aprovado"
"BNP Paribas Match Plus 30 Advisory";"score_retorno";"0,46666666666666667";"3";"Q3 - Observação"
"XP Corporate Top";"score_retorno";"0,44444444444444442";"3";"Q3 - Observação"
"Sparta Top";"score_retorno";"0,42222222222222222";"3";"Q3 - Observação"
"Augme 30 Advisory";"score_retorno";"0,40000000000000002";"3";"Q3 - Observação"
"AZ Quest Altro Advisory";"score_retorno";"0,37777777777777777";"3";"Q3 - Observação"
"Arx Vinson Advisory";"score_retorno";"0,35555555555555557";"3";"Q3 - Observação"
"SulAmérica Crédito Ativo";"score_retorno";"0,33333333333333331";"3";"Q3 - Observação"
"JGP Crédito Advisory";"score_retorno";"0,31111111111111112";"3";"Q3 - Observação"
"Safra Vitesse";"score_retorno";"0,28888888888888886";"3";"Q3 - Observação"
"Tivio Institucional 15";"score_retorno";"0,26666666666666666";"3";"Q3 - Observação"
"BNP Paribas Rubi";"score_retorno";"0,24444444444444444";"3";"Q3 - Observação"
"Valora Absolute";"score_retorno";"0,22222222222222221";"4";"Q4 - Descartado"
"Safra Grand Vitesse";"score_retorno";"0,20000000000000001";"4";"Q4 - Descartado"
"XP Corporate Light";"score_retorno";"0,17777777777777778";"4";"Q4 - Descartado"
"Riza Lotus Plus Advisory";"score_retorno";"0,15555555555555556";"4";"Q4 - Descartado"
"Plural Crédito Corporativo II";"score_retorno";"0,13333333333333333";"4";"Q4 - Descartado"
"AF Invest Geraes 30";"score_retorno";"0,11111111111111110";"4";"Q4 - Descartado"
"Selection Light";"score_retorno";"0,08888888888888889";"4";"Q4 - Descartado"
"Mag High Grade Plus 30";"score_retorno";"0,06666666666666667";"4";"Q4 - Descartado"
"Capitânia Premium 45";"score_retorno";"0,04444444444444445";"4";"Q4 - Descartado"
"Inter Premium";"score_retorno";"0,02222222222222222";"4";"Q4 - Descartado"
"BB Asset";"score_retorno";"0,00000000000000000";"4";"Q4 - Descartado"
"Bocom BBM Corporate Credit II";"score_risco";"0,97333333333333327";"1";"Q1 - Destaque"
"Atena Yield D30";"score_risco";"0,96444444444444444";"1";"Q1 - Destaque"
"Mag High Grade Plus 30";"score_risco";"0,96222222222222220";"1";"Q1 - Destaque"
"Root Capital Crédito HG Plus";"score_risco";"0,95333333333333337";"1";"Q1 - Destaque"
"BNP Paribas Match Plus 30 Advisory";"score_risco";"0,92444444444444440";"1";"Q1 - Destaque"
"Occam Crédito Corporativo 30";"score_risco";"0,86666666666666670";"1";"Q1 - Destaque"
"SulAmérica Crédito ESG";"score_risco";"0,86444444444444446";"1";"Q1 - Destaque"
"Vinland Crédito";"score_risco";"0,83333333333333337";"1";"Q1 - Destaque"
"Compass Yield 30";"score_risco";"0,80888888888888888";"1";"Q1 - Destaque"
"Novus Crédito";"score_risco";"0,80222222222222217";"1";"Q1 - Destaque"
"Absolute Creta Advisory";"score_risco";"0,79777777777777770";"1";"Q1 - Destaque"
"Arx Vinson Advisory";"score_risco";"0,72444444444444445";"1";"Q1 - Destaque"
"Ibiuna Credit";"score_risco";"0,72222222222222221";"2";"Q2 - Aprovado"
"Polo Crédito Corporativo Advisory";"score_risco";"0,69333333333333325";"2";"Q2 - Aprovado"
"BB Asset";"score_risco";"0,64666666666666661";"2";"Q2 - Aprovado"
"Iridium Titan Advisory";"score_risco";"0,62444444444444458";"2";"Q2 - Aprovado"
"Riza Lotus Plus Advisory";"score_risco";"0,59999999999999998";"2";"Q2 - Aprovado"
"BNP Paribas Rubi";"score_risco";"0,59777777777777774";"2";"Q2 - Aprovado"
"Principal Claritas";"score_risco";"0,58222222222222220";"2";"Q2 - Aprovado"
"BOCOM BBM Corporate Credit Plus MULT";"score_risco";"0,55555555555555558";"2";"Q2 - Aprovado"
"Safra Polaris";"score_risco";"0,53111111111111109";"2";"Q2 - Aprovado"
"Daycoval Classic 30";"score_risco";"0,51555555555555554";"2";"Q2 - Aprovado"
"XP Corporate Top";"score_risco";"0,51555555555555554";"2";"Q2 - Aprovado"
"Augme 30 Advisory";"score_risco";"0,48222222222222222";"2";"Q2 - Aprovado"
"XP Corporate Light";"score_risco";"0,44888888888888889";"3";"Q3 - Observação"
"Selection Light";"score_risco";"0,43333333333333335";"3";"Q3 - Observação"
"Porto Seguro Ipê";"score_risco";"0,43111111111111111";"3";"Q3 - Observação"
"Valora Absolute";"score_risco";"0,38666666666666660";"3";"Q3 - Observação"
"SulAmérica Crédito Ativo";"score_risco";"0,37777777777777777";"3";"Q3 - Observação"
"ARX Everest Advisory";"score_risco";"0,36666666666666670";"3";"Q3 - Observação"
"Sparta Max Advisory";"score_risco";"0,34000000000000002";"3";"Q3 - Observação"
"Sparta Top";"score_risco";"0,32000000000000001";"3";"Q3 - Observação"
"Tivio Institucional 15";"score_risco";"0,27555555555555555";"3";"Q3 - Observação"
"Capitânia Premium 45";"score_risco";"0,26000000000000001";"3";"Q3 - Observação"
"JGP Corporate FEEDER II";"score_risco";"0,22666666666666668";"3";"Q3 - Observação"
"SPX Seahawk Advisory";"score_risco";"0,22444444444444445";"4";"Q4 - Descartado"
"Integral";"score_risco";"0,21111111111111114";"4";"Q4 - Descartado"
"Safra Vitesse";"score_risco";"0,18444444444444444";"4";"Q4 - Descartado"
"BTG Pactual Crédito Corporativo I";"score_risco";"0,17777777777777778";"4";"Q4 - Descartado"
"XP Corporate Plus";"score_risco";"0,17555555555555555";"4";"Q4 - Descartado"
"Safra Grand Vitesse";"score_risco";"0,16000000000000000";"4";"Q4 - Descartado"
"Plural Crédito Corporativo II";"score_risco";"0,15555555555555556";"4";"Q4 - Descartado"
"AF Invest Geraes 30";"score_risco";"0,15111111111111111";"4";"Q4 - Descartado"
"AZ Quest Altro Advisory";"score_risco";"0,08222222222222222";"4";"Q4 - Descartado"
"Inter Premium";"score_risco";"0,06000000000000000";"4";"Q4 - Descartado"
"JGP Crédito Advisory";"score_risco";"0,00888888888888889";"4";"Q4 - Descartado"
